"Madre","Fnac","Nombre","Tipologia","Npartos","Nabortos","Nservicios","Lote","Observacion","FaproxParto","IDA","fepre","fecs","FECUP","Vaquera"
"20231","2008-03-15 00:00:00","","VACA VACIA","","","","Lote uno","","","0","","","",""
"24339","2002-09-30 00:00:00","","VACA VACIA","","","","Lote uno","","","0","","","",""
"25145","2008-08-05 00:00:00","","VACA VACIA","","","","Lote uno","","","0","","","",""
"23136","2005-06-15 00:00:00","","VACA VACIA","","","","Lote uno","","","0","","","",""
"24075","2007-04-19 00:00:00","","VACA VACIA","","","","Lote uno","","","0","","","",""
"22318","2004-11-23 00:00:00","","VACA VACIA","","","","Lote uno","","","0","","","",""
"2526","2014-04-19 00:00:00","","VACA VACIA","1","","0","3 HEMBRAS","","","0","","","2014-11-19 00:00:00",""
"89","2012-11-22 00:00:00","","VACA VACIA","1","","0","MATAPALITO","ENTRARON A LA FINCA EL 22/11/2014 ","","0","","","2014-12-08 00:00:00",""
"2260","2011-01-22 00:00:00","","VACA PREÑADA","","","","MATAPALITO","ENTRADA A LA FINCA EL 22/11/2014","2015-02-06 00:00:00","0","2014-05-02 00:00:00","","",""
"85","2010-01-03 00:00:00","","VACA VACIA","1","","0","MATAPALITO","ENTRADA A LA FINCA EL 22/11/2014","","0","","","2014-12-08 00:00:00",""
"25","2010-02-01 00:00:00","","VACA VACIA","1","","0","","","","0","","","2014-12-08 00:00:00",""
"22","2010-01-01 00:00:00","","VACA VACIA SIN CRIA","1","","0","","","","0","","","2014-12-08 00:00:00",""
"604","2001-11-22 00:00:00","","VACA PROD.VACIA","","","","","","","0","","","",""
"88","2011-04-25 00:00:00","","VACA VACIA","1","","0","Lote uno","","","0","","","2014-12-08 00:00:00",""
"77","2012-11-03 00:00:00","","VACA VACIA","1","","0","","","","0","","","2014-12-08 00:00:00",""
"49501","2009-01-31 00:00:00","","NOVILLA","","","","LOTE IA","","","0","","","",""
"00/52","2009-05-10 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"00/39","2008-03-09 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"00/71","2009-07-20 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"00/73","2010-02-04 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"00/74","2010-02-16 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"8095","1998-08-02 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"8099","1998-08-02 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"8112","1998-09-03 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"8122","1997-11-22 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"8141","1998-10-13 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"10021","2003-11-11 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"10024","2001-01-27 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"10036","2005-08-29 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"22369","2002-10-06 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"22456","2002-12-11 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"23221","2003-09-11 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"23406","2003-11-04 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"24077","2004-08-30 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"25040","2005-08-14 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"25049","2005-08-20 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"25077","2005-08-24 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"25108","2005-08-29 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"25118","2005-08-29 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"25120","2005-08-29 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"25208","2005-09-08 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"25258","2005-09-16 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"25342","2005-10-10 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"25343","2005-10-10 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
"10+7","1997-08-22 00:00:00","","NOVILLA","0","0","0","","","","0","","","",""
"11406645","1997-11-23 00:00:00","","NOVILLA","0","0","0","6 TOROS","Transferencia de Romana TRU-TEST...","","0","","","",""
"220133","1997-11-23 00:00:00","","NOVILLA","0","0","0","6 TOROS","Transferencia de Romana TRU-TEST...","","0","","","",""
"220142","1997-11-23 00:00:00","","NOVILLA","0","0","0","11 SENEPOL","Transferencia de Romana TRU-TEST...","","0","","","",""
"270060","1997-11-23 00:00:00","","NOVILLA","0","0","0","11 SENEPOL","Transferencia de Romana TRU-TEST...","","0","","","",""
"270085","1997-11-23 00:00:00","","NOVILLA","0","0","0","13 MATADERO 1","Transferencia de Romana TRU-TEST...","","0","","","",""
"30033","1997-11-23 00:00:00","","NOVILLA","0","0","0","12 MESTIZO SENEPOL","Transferencia de Romana TRU-TEST...","","0","","","",""
"5334","1995-11-22 00:00:00","","NOVILLA","0","","1","VACAS CEBA","","","0","","","",""
"6004","1996-01-02 00:00:00","","NOVILLA","0","","1","HORRO","","","0","","","",""
"6050","1996-01-25 00:00:00","","NOVILLA","0","","1","VACAS CEBA","","","0","","","",""
"6076","1996-02-12 00:00:00","","NOVILLA","0","","1","HORRO","","","0","","","",""
"6080","1996-02-14 00:00:00","","NOVILLA","0","","1","HORRO","","","0","","","",""
"6159","1996-04-23 00:00:00","","NOVILLA","0","","1","HORRO","","","0","","","",""
"6191","1996-05-17 00:00:00","","NOVILLA","0","","1","HORRO","","","0","","","",""
"6198","1996-05-22 00:00:00","","NOVILLA","0","","1","HORRO","","","0","","","",""
"6209","1996-05-30 00:00:00","","NOVILLA","0","","1","HORRO","ORDEñO","","0","","","",""
"6217","1996-06-06 00:00:00","","NOVILLA","0","","1","HORRO","","","0","","","",""
"6239","1996-06-20 00:00:00","","NOVILLA","0","","1","HORRO","","","0","","","",""
"6243","1996-06-26 00:00:00","","NOVILLA","0","","1","HORRO","","","0","","","",""
"6286","1996-08-12 00:00:00","","NOVILLA","0","","1","HORRO","","","0","","","",""
"6304","1996-10-31 00:00:00","","NOVILLA","0","","1","HORRO","","","0","","","",""
"6309","1996-11-04 00:00:00","","NOVILLA","0","","1","HORRO","","","0","","","",""
"6324","1996-11-13 00:00:00","","NOVILLA","0","","0","HORRO","","","0","","","",""
"6328","1996-11-16 00:00:00","","NOVILLA","0","","1","HORRO","_","","0","","","",""
"6329","1996-11-17 00:00:00","","NOVILLA","0","","1","HORRO","_","","0","","","",""
"6500","1998-04-24 00:00:00","","NOVILLA","0","0","0","11 SENEPOL","","","0","","","",""
"6562","1998-04-24 00:00:00","","NOVILLA","0","0","0","11 SENEPOL","","","0","","","",""
"7103235","1997-11-23 00:00:00","","NOVILLA","0","0","0","10 BRAHMAN","Transferencia de Romana TRU-TEST...","","0","","","",""
"8108","1998-04-04 00:00:00","","NOVILLA","0","0","0","11 SENEPOL","","","0","","","",""
"8118","1998-06-20 00:00:00","","NOVILLA","0","0","0","11 SENEPOL","","","0","","","",""
"8119","1998-07-02 00:00:00","","NOVILLA","0","0","0","11 SENEPOL","","","0","","","",""
"8130","1998-06-02 00:00:00","","NOVILLA","0","0","0","11 SENEPOL","","","0","","","",""
"96169","1996-02-01 00:00:00","","NOVILLA","0","0","0","3 HEMBRAS","2-98 6-98","","0","","","",""
"25349","2005-10-14 00:00:00","","NOVILLA","","","","NOVILLAS INSEMINADAS 2012","","","0","","","",""
