"SERIE","FECAP","FECAS","FECPO","FECFO","PROLT","PROM","DIALAC","DIAORD","FECSER","BECERRO","SEXO","TOROPAJ","NOMI","FREGP","INTDIAABI","INTESTPAR","PESO_PREÑEZ","MESES_PREÑADA","METODO","FEPRE","TOROTEMP","Historia","NCICLO"
"D8145","1998-09-24 00:00:00","1998-08-25 00:00:00","","","","","","","","","","","","1998-01-27 00:00:00","0","0","0","1","","1997-12-28 00:00:00","","False",""
"D8110","1998-09-24 00:00:00","1998-08-25 00:00:00","","","","","","","","","","","","1998-01-27 00:00:00","0","0","0","1","","1997-12-28 00:00:00","","False",""
"2869","1998-11-11 00:00:00","1998-10-12 00:00:00","","","","","","","","","","","","1998-03-16 00:00:00","0","0","0","1","","1998-02-14 00:00:00","","False",""
"3813","1999-01-16 00:00:00","1998-12-17 00:00:00","","","","","","","","","","","","1998-05-21 00:00:00","0","0","0","1","","1998-04-21 00:00:00","","False",""
"231","1999-01-16 00:00:00","1998-12-17 00:00:00","","","","","","","","","","","","1998-05-21 00:00:00","0","0","0","1","","1998-04-21 00:00:00","","False",""
"E8019","1998-11-13 00:00:00","1998-10-14 00:00:00","","","","","","","","","","","","1998-03-18 00:00:00","0","0","0","1","","1998-02-16 00:00:00","","False",""
"4872","1998-11-13 00:00:00","1998-10-14 00:00:00","","","","","","","","","","","","1998-03-18 00:00:00","0","0","0","1","","1998-02-16 00:00:00","","False",""
"D8130","1998-11-13 00:00:00","1998-10-14 00:00:00","","","","","","","","","","","","1998-03-18 00:00:00","0","0","0","1","","1998-02-16 00:00:00","","False",""
"9586","1998-11-13 00:00:00","1998-10-14 00:00:00","","","","","","","","","","","","1998-03-18 00:00:00","0","0","0","1","","1998-02-16 00:00:00","","False",""
"6078","1998-11-13 00:00:00","1998-10-14 00:00:00","","","","","","","","","","","","1998-03-18 00:00:00","0","0","0","1","","1998-02-16 00:00:00","","False",""
"6074","1998-11-13 00:00:00","1998-10-14 00:00:00","","","","","","","","","","","","1998-03-18 00:00:00","0","0","0","1","","1998-02-16 00:00:00","","False",""
"1602","1998-11-13 00:00:00","1998-10-14 00:00:00","","","","","","","","","","","","1998-03-18 00:00:00","0","0","0","1","","1998-02-16 00:00:00","","False",""
"D8133","1998-11-13 00:00:00","1998-10-14 00:00:00","","","","","","","","","","","","1998-03-18 00:00:00","0","0","0","1","","1998-02-16 00:00:00","","False",""
"D8131","1998-11-13 00:00:00","1998-10-14 00:00:00","","","","","","","","","","","","1998-03-18 00:00:00","0","0","0","1","","1998-02-16 00:00:00","","False",""
"1571","","1996-02-26 00:00:00","1995-05-12 00:00:00","1996-01-19 00:00:00","0","0","252","252","","","","","","","0","0","0","1","","","","False",""
"1590","","1996-04-06 00:00:00","1995-06-20 00:00:00","1996-02-15 00:00:00","0","0","240","240","","","","","","","0","0","0","1","","","","False",""
"2823","","1996-03-29 00:00:00","1995-06-16 00:00:00","1996-02-15 00:00:00","0","0","244","244","","","","","","","0","0","0","1","","","","False",""
"2856","","1997-06-03 00:00:00","1996-08-17 00:00:00","1997-04-15 00:00:00","0","0","241","241","","","","","","","0","0","0","1","","","","False",""
"3806","","1997-06-09 00:00:00","1996-08-23 00:00:00","1997-04-15 00:00:00","0","0","235","235","","","","","","","0","0","0","1","","","","False",""
"3832","","1997-06-09 00:00:00","1996-08-23 00:00:00","1997-04-15 00:00:00","0","0","235","235","","","","","","","0","0","0","1","","","","False",""
"3859","","1997-05-13 00:00:00","1996-07-27 00:00:00","1997-03-17 00:00:00","0","0","233","233","","","","","","","0","0","0","1","","","","False",""
"63","","1996-03-12 00:00:00","1995-05-27 00:00:00","1996-01-19 00:00:00","0","0","237","237","","","","","","","0","0","0","1","","","","False",""
"6510","","1996-09-28 00:00:00","1995-11-26 00:00:00","1996-08-15 00:00:00","0","0","263","263","","","","","","","0","0","0","1","","","","False",""
"7009","","1996-10-31 00:00:00","1996-01-15 00:00:00","1996-02-01 00:00:00","0","0","17","17","","","","","","","0","0","0","1","","","","False",""
"71","","1997-03-12 00:00:00","1996-05-26 00:00:00","1997-01-09 00:00:00","0","0","228","228","","","","","","","0","0","0","1","","","","False",""
"7607","","1995-02-06 00:00:00","1995-03-24 00:00:00","1995-11-16 00:00:00","0","0","237","237","","","","","","","0","0","0","1","","","","False",""
"9545","","1996-02-02 00:00:00","1995-04-18 00:00:00","1995-12-19 00:00:00","0","0","245","245","","","","","","","0","0","0","1","","","","False",""
"9568","","1996-02-21 00:00:00","1995-05-07 00:00:00","1996-01-19 00:00:00","0","0","257","257","","","","","","","0","0","0","1","","","","False",""
"589","1998-10-06 00:00:00","1998-07-23 00:00:00","1997-09-02 00:00:00","1998-09-09 00:00:00","101.4","0.27258064516129","372","372","1997-12-25 00:00:00","","","","","1998-01-24 00:00:00","125","410","0","1","","1997-12-25 00:00:00","","False",""
