"SERIE","FECAP","FECAS","FECPO","FECFO","PROLT","PROM","DIALAC","DIAORD","FECSER","BECERRO","SEXO","TOROPAJ","NOMI","FREGP","INTDIAABI","INTESTPAR","PESO_PREÑEZ","MESES_PREÑADA","METODO","FEPRE","TOROTEMP","Historia","NCICLO"
"005G","2000-08-05 00:00:00","2000-07-01 00:00:00","","","","","0","0","","","","","","2000-02-02 00:00:00","0","0","0","3","Monta Libre","1999-11-04 00:00:00","","False",""
"006","2000-06-06 00:00:00","2000-05-02 00:00:00","","","","","0","0","","","","","","2000-02-02 00:00:00","549","824","0","5","Monta Libre","1999-09-05 00:00:00","","False",""
"007","2000-06-06 00:00:00","2000-05-02 00:00:00","","","","","0","0","","","","","","2000-02-02 00:00:00","0","0","0","5","Monta Libre","1999-09-05 00:00:00","","False",""
"007","2003-05-07 00:00:00","2003-04-02 00:00:00","","","","","","","","","","","","2003-05-02 00:00:00","0","0","0","9","","2002-08-05 00:00:00","","False",""
"25204","2009-04-17 00:00:00","2009-03-08 00:00:00","","","","","","","","","","H326","TIRSO","2009-04-18 00:00:00","0","0","0","281","Inseminación Artificial","2008-07-11 00:00:00","","False",""
"25290","2009-02-27 00:00:00","2009-01-18 00:00:00","","","","","","","","","","VQPS3188","TIRSO","2008-08-07 00:00:00","0","0","0","76","Inseminación Artificial","2008-05-23 00:00:00","","False",""
"25290","2011-03-16 00:00:00","2011-02-04 00:00:00","","","","","","","","","","","","2010-10-07 00:00:00","450","730","0","4","Temporada de Monta","2010-06-09 00:00:00","","False",""
"6220","2006-02-17 00:00:00","2006-01-08 00:00:00","","","","","","","","","","","","2005-10-10 00:00:00","0","0","0","5","Monta Libre","2005-05-13 00:00:00","","False",""
"45200","2009-01-20 00:00:00","2008-12-11 00:00:00","","","","","","","","","","P-407","BENITO HERNANDEZ","2008-05-25 00:00:00","0","0","355.36","40","Inseminación Artificial","2008-04-15 00:00:00","","False",""
"45200","2010-01-15 00:00:00","2009-12-06 00:00:00","","","","","","","","","","","","2009-10-07 00:00:00","69","349","0","6","Temporada de Monta","2009-04-10 00:00:00","","False",""
"   702","2012-07-24 00:00:00","2012-06-14 00:00:00","1999-09-24 00:00:00","2012-07-09 00:00:00","-42040.461","-8.99838634417808","4672","4672","","","","","","2012-03-16 00:00:00","4414","4694","0","5","Temporada de Monta","2011-10-18 00:00:00","","False",""
"003JB","2004-09-28 00:00:00","2004-08-24 00:00:00","","","","","","","","","","","","2004-04-26 00:00:00","919","1194","0","4","Monta Libre","2003-12-28 00:00:00","","False",""
"    13","","2015-07-16 00:00:00","2014-11-18 00:00:00","2015-01-18 00:00:00","251.0925","4.11627049180328","61","61","","","","","","","0","0","0","0","","","","False",""
"00/2","2015-05-27 00:00:00","2015-04-17 00:00:00","","","","","","","","","","","","2014-11-18 00:00:00","0","0","0","3","Monta Libre","2014-08-20 00:00:00","","False",""
"007JB","1999-03-09 00:00:00","1999-02-07 00:00:00","","","","","0","0","","","","","","1998-10-10 00:00:00","81","351","0","4","Temporada de Monta","1998-06-12 00:00:00","","False",""
"2526","2014-11-26 00:00:00","2014-10-17 00:00:00","","","","","","","","","","","","2014-06-19 00:00:00","0","0","0","4","Monta Libre","2014-02-19 00:00:00","","False",""
"010","1999-03-14 00:00:00","1999-02-12 00:00:00","","","","","0","0","","","","","","1998-10-15 00:00:00","0","0","0","4","Monta Libre","1998-06-17 00:00:00","","False",""
"014JB","1999-04-18 00:00:00","1999-03-19 00:00:00","","","","","0","0","","","","","","1998-10-20 00:00:00","0","0","0","3","Temporada de Monta","1998-07-22 00:00:00","","False",""
"012","2000-12-16 00:00:00","2000-11-11 00:00:00","2000-06-15 00:00:00","","7","0.00168390666345923","4157","4157","","","","","","2000-05-15 00:00:00","722","997","0","2","Monta Libre","2000-03-16 00:00:00","","False",""
"88","2014-12-18 00:00:00","2014-11-08 00:00:00","","","","","","","","","","","","2014-12-08 00:00:00","0","0","0","9","Monta Libre","2014-03-13 00:00:00","","False",""
"85","2015-07-06 00:00:00","2015-05-27 00:00:00","","","","","","","","","","","","2014-11-28 00:00:00","0","0","0","2","Monta Libre","2014-09-29 00:00:00","","False",""
"77","2014-12-18 00:00:00","2014-11-08 00:00:00","","","","","","","","","","","","2014-12-08 00:00:00","0","0","0","9","Monta Libre","2014-03-13 00:00:00","","False",""
"89","2015-04-06 00:00:00","2015-02-25 00:00:00","","","","","","","","","","","","2014-11-27 00:00:00","0","0","0","5","Monta Libre","2014-06-30 00:00:00","","False",""
"22","2014-12-14 00:00:00","2014-11-04 00:00:00","","","","","","","","","","","","2014-12-04 00:00:00","0","0","0","9","Monta Libre","2014-03-09 00:00:00","","False",""
"25","2014-12-18 00:00:00","2014-11-08 00:00:00","","","","","","","","","","","","2014-12-08 00:00:00","0","0","0","9","Monta Libre","2014-03-13 00:00:00","","False",""
"00/39","2014-10-12 00:00:00","2014-09-02 00:00:00","","","","","","","","","","","","2018-12-10 00:00:00","0","0","0","60","Monta Libre","2014-01-05 00:00:00","","False",""
