"Serie","Nombre","Raza","FechaNacimiento","NroReg1","NroReg2","Asociacion1","Asociacion2","SeriePadre","SerieMadre","NombrePadre","NombreMadre","Animal","Comentario","EsPajuelaPadre","Historia","NCICLO"
"25049","","","2005-08-20 00:00:00","","","","","","","","","True","","False","False",""
"25077","","","2005-08-24 00:00:00","","","","","","","","","True","","False","False",""
"25108","","","2005-08-29 00:00:00","","","","","","","","","True","","False","False",""
"25118","","","2005-08-29 00:00:00","","","","","","","","","True","","False","False",""
"25120","","","2005-08-29 00:00:00","","","","","","","","","True","","False","False",""
"25208","","","2005-09-08 00:00:00","","","","","","","","","True","","False","False",""
"25258","","","2005-09-16 00:00:00","","","","","","","","","True","","False","False",""
"25342","","","2005-10-10 00:00:00","","","","","","","","","True","","False","False",""
"25343","","","2005-10-10 00:00:00","","","","","","","","","True","","False","False",""
"25349","","","2005-10-14 00:00:00","","","","","","","","","True","","False","False",""
"25372","","","2005-10-25 00:00:00","","","","","","","","","True","","False","False",""
"26005","","","2006-01-09 00:00:00","","","","","","","","","True","","False","False",""
"26036","","","2006-05-19 00:00:00","","","","","","","","","True","","False","False",""
"27029","","","2007-08-15 00:00:00","","","","","","","","","True","","False","False",""
"27041","","","2007-08-25 00:00:00","","","","","","","","","True","","False","False",""
"27058","","","2007-08-28 00:00:00","","","","","","","","","True","","False","False",""
"27065","","","2007-08-24 00:00:00","","","","","","","","","True","","False","False",""
"27111","","","2007-07-07 00:00:00","","","","","","","","","True","","False","False",""
"27141","","","2007-09-11 00:00:00","","","","","","","","","True","","False","False",""
"27187","","","2007-09-26 00:00:00","","","","","","","","","True","","False","False",""
"27192","","","2007-09-26 00:00:00","","","","","","","","","True","","False","False",""
"27219","","","2007-10-16 00:00:00","","","","","","","","","True","","False","False",""
"27228","","","2007-10-05 00:00:00","","","","","","","","","True","","False","False",""
"27321","","","2007-11-06 00:00:00","","","","","","","","","True","","False","False",""
"27323","","","2007-11-10 00:00:00","","","","","","","","","True","","False","False",""
"27370","","","2007-07-17 00:00:00","","","","","","","","","True","","False","False",""
"28010","","","2008-03-19 00:00:00","","","","","","","","","True","","False","False",""
"28020","","","2008-08-16 00:00:00","","","","","","","","","True","","False","False",""
"28022","","","2008-08-18 00:00:00","","","","","","","","","True","","False","False",""
"28029","","","2008-08-21 00:00:00","","","","","","","","","True","","False","False",""
"28034","","","2008-08-21 00:00:00","","","","","","","","","True","","False","False",""
"28055","","","2008-09-02 00:00:00","","","","","","","","","True","","False","False",""
"28061","","","2008-09-03 00:00:00","","","","","","","","","True","","False","False",""
"28076","","","2008-09-10 00:00:00","","","","","","","","","True","","False","False",""
"28082","","","2008-09-14 00:00:00","","","","","","","","","True","","False","False",""
"28084","","","2008-09-14 00:00:00","","","","","","","","","True","","False","False",""
"28093","","","2008-09-16 00:00:00","","","","","","","","","True","","False","False",""
"29067","","","2009-04-30 00:00:00","","","","","","","","","True","","False","False",""
"29071","","","2009-05-09 00:00:00","","","","","","","","","True","","False","False",""
"29073","","","2009-05-11 00:00:00","","","","","","","","","True","","False","False",""
"29075","","","2009-05-11 00:00:00","","","","","","","","","True","","False","False",""
"29079","","","2009-05-26 00:00:00","","","","","","","","","True","","False","False",""
"29082","","","2009-05-26 00:00:00","","","","","","","","","True","","False","False",""
"29084","","","2009-06-01 00:00:00","","","","","","","","","True","","False","False",""
"29088","","","2009-06-04 00:00:00","","","","","","","","","True","","False","False",""
"29097","","","2009-06-08 00:00:00","","","","","","","","","True","","False","False",""
"29102","","","2009-07-15 00:00:00","","","","","","","","","True","","False","False",""
"29103","","","2009-07-15 00:00:00","","","","","","","","","True","","False","False",""
"29104","","","2009-07-14 00:00:00","","","","","","","","","True","","False","False",""
"29104B","","","2009-08-04 00:00:00","","","","","","","","","True","","False","False",""
"29105","","","2009-07-14 00:00:00","","","","","","","","","True","","False","False",""
"29108","","","2009-09-07 00:00:00","","","","","","","","","True","","False","False",""
"29112","","","2009-07-17 00:00:00","","","","","","","","","True","","False","False",""
"29116","","","2009-07-20 00:00:00","","","","","","","","","True","","False","False",""
"29118","","","2009-07-20 00:00:00","","","","","","","","","True","","False","False",""
"29119","","","2009-07-20 00:00:00","","","","","","","","","True","","False","False",""
"29120","","","2009-07-20 00:00:00","","","","","","","","","True","","False","False",""
"29121","","","2009-07-23 00:00:00","","","","","","","","","True","","False","False",""
"29122","","","2009-07-23 00:00:00","","","","","","","","","True","","False","False",""
"29131","","","2009-07-27 00:00:00","","","","","","","","","True","","False","False",""
"29132","","","2009-07-27 00:00:00","","","","","","","","","True","","False","False",""
"29133","","","2009-07-27 00:00:00","","","","","","","","","True","","False","False",""
"29134","","","2009-07-31 00:00:00","","","","","","","","","True","","False","False",""
"29135","","","2009-07-31 00:00:00","","","","","","","","","True","","False","False",""
"29139","","","2009-08-04 00:00:00","","","","","","","","","True","","False","False",""
"29140","","","2009-08-04 00:00:00","","","","","","","","","True","","False","False",""
"29143","","","2009-08-04 00:00:00","","","","","","","","","True","","False","False",""
"29153","","","2009-08-12 00:00:00","","","","","","","","","True","","False","False",""
"29156","","","2009-08-12 00:00:00","","","","","","","","","True","","False","False",""
"29157R","","","2009-04-30 00:00:00","","","","","","","","","True","","False","False",""
"29159","","","2009-08-17 00:00:00","","","","","","","","","True","","False","False",""
"29160","","","2009-08-24 00:00:00","","","","","","","","","True","","False","False",""
"29161","","","2009-08-24 00:00:00","","","","","","","","","True","","False","False",""
"29165","","","2009-08-17 00:00:00","","","","","","","","","True","","False","False",""
"29167","","","2009-08-24 00:00:00","","","","","","","","","True","","False","False",""
"29168","","","2009-08-24 00:00:00","","","","","","","","","True","","False","False",""
"29171","","","2009-08-17 00:00:00","","","","","","","","","True","","False","False",""
"29173","","","2009-08-17 00:00:00","","","","","","","","","True","","False","False",""
"29174","","","2009-08-17 00:00:00","","","","","","","","","True","","False","False",""
"29175","","","2009-08-17 00:00:00","","","","","","","","","True","","False","False",""
"20231","","","2008-03-15 00:00:00","","","","","","","","","True","","False","False",""
"24339","","BRAHAMAN","2002-09-30 00:00:00","","","","","","","","","True","","False","False",""
"25145","","BRAHAMAN","2008-08-05 00:00:00","","","","","","","","","True","","False","False",""
"23136","","BRAHAMAN","2005-06-15 00:00:00","","","","","","","","","True","","False","False",""
"24075","","BRAHAMAN","2007-04-19 00:00:00","","","","","","","","","True","","False","False",""
"22318","","BRAHAMAN","2004-11-23 00:00:00","","","","","","","","","True","","False","False",""
"22354","","BRAHAMAN","2004-09-18 00:00:00","","","","","","","","","True","","False","False",""
"9206","","BRAHAMAN","2001-08-18 00:00:00","","","","","","","","","True","","False","False",""
"23257","","BRAHAMAN","2005-06-15 00:00:00","","","","","","","","","True","","False","False",""
"4521","","BRAHAMAN","2013-05-14 00:00:00","","","","","","","","","True","","False","False",""
"33427","","BRAHMAN","2014-10-18 00:00:00","","","","","","     9","","AMARILLA","True","","False","False",""
"2526","","BRAHMAN","2014-04-19 00:00:00","","","","","","          27","","","True","","False","False",""
"89","","BRAHMAN","2012-11-22 00:00:00","","","","","","","","","True","","False","False",""
"2260","","BRAHMAN","2011-01-22 00:00:00","","","","","","","","","True","","False","False",""
"85","","MESTIZO PARDO 5/8","2010-01-03 00:00:00","","","","","","","","","True","","False","False",""
"1598","ZARCILLO","MESTIZO BRAHMAN","1991-06-08 00:00:00","","","","","","","","","True","","False","False",""
"1599","KARINITA","MESTIZO BRAHMAN","1991-06-13 00:00:00","","","","","","","","","True","","False","False",""
"1602","FRANCY","MESTIZO BRAHMAN","1991-06-08 00:00:00","","","","","","","","","True","","False","False",""
"2801","ROSITA","MESTIZO BRAHMAN","1991-06-08 00:00:00","","","","","","","","","True","","False","False",""
"2802","TOPACIO","MESTIZO BRAHMAN","1991-06-08 00:00:00","","","","","","","","","True","","False","False",""
"2804","CARRO DE ORO","MESTIZO BRAHMAN","1991-06-13 00:00:00","","","","","","","","","True","","False","False",""
"2806","CARABOBO","MESTIZO BRAHMAN","1991-06-13 00:00:00","","","","","","","","","True","","False","False",""
"2808","GUACHARACA","MESTIZO BRAHMAN","1991-06-13 00:00:00","","","","","","","","","True","","False","False",""
"2811","COMPOTA","MESTIZO BRAHMAN","1991-06-13 00:00:00","","","","","","","","","True","","False","False",""
"2813","COSTEÑA","MESTIZO BRAHMAN","1991-06-03 00:00:00","","","","","","","","","True","","False","False",""
"2826","BIZCOCHUELO","MESTIZO BRAHMAN","1991-06-08 00:00:00","","","","","","","","","True","","False","False",""
"6502","CARBONERA","MESTIZO BRAHMAN","1987-06-09 00:00:00","","","","","","","","","True","","False","False",""
"6505","MORENA","MESTIZO BRAHMAN","1985-06-09 00:00:00","","","","","","","","","True","","False","False",""
"6510","LUCERITO","MESTIZO BRAHMAN","1986-06-09 00:00:00","","","","","","","","","True","","False","False",""
"6511","CHICHARRA","MESTIZO BRAHMAN","1985-06-09 00:00:00","","","","","","","","","True","","False","False",""
"6512","CATALINA","MESTIZO BRAHMAN","1985-06-09 00:00:00","","","","","","","","","True","","False","False",""
"6514","TIERRA NEGRA","MESTIZO BRAHMAN","1986-06-09 00:00:00","","","","","","","","","True","","False","False",""
"6515","CORBATA","MESTIZO BRAHMAN","1985-06-09 00:00:00","","","","","","","","","True","","False","False",""
"6516","MEDIO LUTO","MESTIZO BRAHMAN","1985-06-09 00:00:00","","","","","","","","","True","","False","False",""
"6517","FLOR DE MAYO","MESTIZO BRAHMAN","1985-06-09 00:00:00","","","","","","","","","True","","False","False",""
"7002","RIO CRECIDO","MESTIZO BRAHMAN","1985-06-09 00:00:00","","","","","","","","","True","","False","False",""
"7003","CALENTURA","MESTIZO BRAHMAN","1985-06-09 00:00:00","","","","","","","","","True","","False","False",""
"7009","CASCABEL","MESTIZO BRAHMAN","1985-06-09 00:00:00","","","","","","","","","True","","False","False",""
"7013","VOLADORA","MESTIZO BRAHMAN","1985-06-09 00:00:00","","","","","","","","","True","","False","False",""
"7014","PARAPARA","MESTIZO BRAHMAN","1985-06-09 00:00:00","","","","","","","","","True","","False","False",""
"7015","CANTADORA","MESTIZO BRAHMAN","1984-06-09 00:00:00","","","","","","","","","True","","False","False",""
"7016","BALLENA","MESTIZO BRAHMAN","1985-06-09 00:00:00","","","","","","","","","True","","False","False",""
"7017","LLANO RICO","MESTIZO BRAHMAN","1984-06-09 00:00:00","","","","","","","","","True","","False","False",""
"7018","PRIMERITA","MESTIZO BRAHMAN","1984-06-09 00:00:00","","","","","","","","","True","","False","False",""
"7509","PORTUGUESA","MESTIZO BRAHMAN","1986-06-09 00:00:00","","","","","","","","","True","","False","False",""
"7510","LUNA E'MIEL","MESTIZO BRAHMAN","1985-06-09 00:00:00","","","","","","","","","True","","False","False",""
"7511","PATO REAL","MESTIZO BRAHMAN","1985-06-09 00:00:00","","","","","","","","","True","","False","False",""
"7512","MERCEDES","MESTIZO BRAHMAN","1985-06-09 00:00:00","","","","","","","","","True","","False","False",""
"7591","PLAYITA","MESTIZO BRAHMAN","1987-06-09 00:00:00","","","","","","","","","True","","False","False",""
"7599","SPLAY","MESTIZO BRAHMAN","1987-06-09 00:00:00","","","","","","","","","True","","False","False",""
"7607","PAN QUEMAO","MESTIZO BRAHMAN","1986-06-09 00:00:00","","","","","","","","","True","","False","False",""
