"Madre","Serie","Padre","Nombre","Tipologia","Pesodestete","Fecha","Caso","fecs"
"171","4891M","","","MAUTE","0","1994-11-01 00:00:00","PARTO","1996-10-08 00:00:00"
"85341","4892M","","","MAUTE","0","1994-11-05 00:00:00","PARTO","1996-11-06 00:00:00"
"453","4893","","AÑO NUEVO","VACA PROD.VACIA","0","1994-11-05 00:00:00","PARTO","1998-09-30 00:00:00"
"9514","4894M","","","MAUTE","0","1994-11-06 00:00:00","PARTO","1996-05-05 00:00:00"
"9557","4895M","","","MAUTE","0","1994-11-17 00:00:00","PARTO","1997-03-05 00:00:00"
"585","4896M","","","MAUTE","0","1994-11-17 00:00:00","PARTO","1997-02-04 00:00:00"
"582","4897M","","","MAUTE","0","1994-11-22 00:00:00","PARTO","1997-05-07 00:00:00"
"76301","4898M","","","MAUTE","0","1994-11-28 00:00:00","PARTO","1997-03-05 00:00:00"
"226","4899M","","","MAUTE","0","1994-12-02 00:00:00","PARTO","1997-03-05 00:00:00"
"1592","4900M","","","MAUTE","0","1994-12-23 00:00:00","PARTO","1997-08-13 00:00:00"
"147","4901M","","","MAUTE","0","1994-12-26 00:00:00","PARTO","1997-03-05 00:00:00"
"0543","5334","","","NOVILLA","","1995-11-22 00:00:00","PARTO",""
"         271","546","         081","","VACA VACIA","","1988-04-21 00:00:00","PARTO",""
"   566","566/99","   S-9","","BECERRA","","1999-08-02 00:00:00","PARTO",""
"   576","576/99","   S-9","","BECERRA","","1999-07-13 00:00:00","PARTO",""
"   578","578/99"," S-407","","BECERRO","","1999-07-21 00:00:00","PARTO",""
"9568","5825","","","BECERRA","0","1995-05-07 00:00:00","PARTO","1995-10-16 00:00:00"
"8554","5848M","","","BECERRO","0","1995-07-04 00:00:00","PARTO","1995-07-05 00:00:00"
"         623","587","","","VACA VACIA","","1990-03-15 00:00:00","PARTO",""
"        3208","592","","","VACA VACIA","","1990-03-10 00:00:00","PARTO",""
"1987","6004","","","NOVILLA","","1996-01-02 00:00:00","PARTO",""
"19201","6050","","","NOVILLA","","1996-01-25 00:00:00","PARTO",""
"1906","6076","","","NOVILLA","","1996-02-12 00:00:00","PARTO",""
"19208","6080","","","NOVILLA","","1996-02-14 00:00:00","PARTO",""
"19217","6159","","","NOVILLA","","1996-04-23 00:00:00","PARTO",""
"19106","6191","","","NOVILLA","","1996-05-17 00:00:00","PARTO",""
"19284","6198","","","NOVILLA","","1996-05-22 00:00:00","PARTO",""
"067","6209","","","NOVILLA","","1996-05-30 00:00:00","PARTO",""
"19253","6210","","","NOVILLA PREÑADA","","1996-05-30 00:00:00","PARTO",""
"0077","6217","","","NOVILLA","","1996-06-06 00:00:00","PARTO",""
"0920","6220","","","VACA PREÑADA","","1996-06-07 00:00:00","PARTO",""
"025","6239","","","NOVILLA","","1996-06-20 00:00:00","PARTO",""
"0984","6243","","","NOVILLA","","1996-06-26 00:00:00","PARTO",""
"   628","628/99","   S-9","","BECERRO","","1999-07-15 00:00:00","PARTO",""
"320","6286","","","NOVILLA","","1996-08-12 00:00:00","PARTO",""
"19259","6304","2288","","NOVILLA","","1996-10-31 00:00:00","PARTO",""
"2148","6309","408","","NOVILLA","","1996-11-04 00:00:00","PARTO",""
"4047","6324","33/4","","NOVILLA","","1996-11-13 00:00:00","PARTO",""
"1318","6328","408","","NOVILLA","","1996-11-16 00:00:00","PARTO",""
"4085","6329","33/4","","NOVILLA","","1996-11-17 00:00:00","PARTO",""
"7481","653","661","","TORO PADROTE","","1997-06-15 00:00:00","PARTO",""
"5293","667","740","","TORO PADROTE","","1997-06-15 00:00:00","PARTO",""
"         493","670","","","VACA PREÑADA","","1991-01-16 00:00:00","PARTO",""
"7021","696","838","","MAUTE","","1997-07-12 00:00:00","PARTO",""
"5318","7021","532","","VACA PREÑADA","","1991-03-05 00:00:00","PARTO",""
"   715","715/98","  S-38","EL ADOPTADO","BECERRO","","1998-12-18 00:00:00","PARTO",""
"3909","7211","532","","VACA PREÑADA","","1992-03-31 00:00:00","PARTO",""
"7211","728","260","","MAUTE","","1998-04-22 00:00:00","PARTO",""
"   766","766/99","  S-38","","BECERRO","","1999-07-13 00:00:00","PARTO",""
"7235","7737","754","","VACA VACIA","","1995-09-20 00:00:00","PARTO",""
"5591","7839","740","","VACA VACIA","","1996-04-15 00:00:00","PARTO",""
"5664","7873","514","","VACA VACIA SIN CRIA","","1996-06-20 00:00:00","PARTO",""
"7548","7889","7","","VACA VACIA SIN CRIA","","1996-07-13 00:00:00","PARTO",""
"7540","8108","850","","NOVILLA","","1998-04-04 00:00:00","PARTO",""
"7737","8118","358","","NOVILLA","","1998-06-20 00:00:00","PARTO",""
"7839","8119","358","","NOVILLA","","1998-07-02 00:00:00","PARTO",""
"7660","8130","260","","NOVILLA","","1998-06-02 00:00:00","PARTO",""
"7873","8157","389","","MAUTA","185","1998-09-22 00:00:00","PARTO",""
"7889","8159","389","","MAUTA","185","1998-09-22 00:00:00","PARTO",""
"   848","848/99","  S-38","","BECERRO","","1999-07-30 00:00:00","PARTO",""
"D8076","93627M","91529","","TORO PADROTE","0","1993-04-20 00:00:00","PARTO",""
"5845","96148","U4","","VACA VACIA","","1996-01-18 00:00:00","PARTO",""
"0628","96150","33","","VACA VACIA","","1996-01-23 00:00:00","PARTO",""
"90512","96169","89550","","NOVILLA","","1996-02-01 00:00:00","PARTO",""
"5123","96186","89550","","NOVILLA PREÑADA","","1996-02-24 00:00:00","PARTO",""
"5757","96246","2607","","VACA VACIA","","1996-05-23 00:00:00","PARTO",""
"89553","96253","2607","","VACA VACIA","","1996-06-12 00:00:00","PARTO","1999-03-17 00:00:00"
"3806","b/3806","001","","BECERRA","0","1997-01-01 00:00:00","PARTO","1997-01-01 00:00:00"
"     9","b/999","0581","","BECERRO","0","1996-05-29 00:00:00","PARTO","1996-05-29 00:00:00"
"114","B114","","","BECERRO","","1999-06-28 00:00:00","PARTO","2000-05-29 00:00:00"
"1529","B1529","P-407","","BECERRO","","1999-10-02 00:00:00","PARTO",""
"    16","B16","  S-38","","BECERRO","0","1998-05-01 00:00:00","PARTO","1998-05-01 00:00:00"
"2801","B2801","","","BECERRA","","1999-06-28 00:00:00","PARTO",""
"012345678901","B290699","  S-38","","BECERRO","","2000-07-29 00:00:00","PARTO",""
"012345678901","B430","         P-7","","BECERRO","","1999-08-25 00:00:00","PARTO",""
"   5/2","B5/2","P-407","","BECERRO","","1999-10-30 00:00:00","PARTO",""
"   714","b714","   S-7","","BECERRO","","1999-10-27 00:00:00","PARTO",""
"AAA1","BAAA1","","LUGUITA","BECERRA","","1999-12-15 00:00:00","PARTO",""
"D0159","BD0159","93627M","","BECERRO","","1999-10-15 00:00:00","PARTO",""
"2801","BM2801","","","BECERRA","","1999-06-28 00:00:00","PARTO",""
"7509","D8001","","CUBIRA","VACA VACIA","0","1995-01-01 00:00:00","PARTO",""
"8588","D8002","","","VACA VACIA","0","1995-01-07 00:00:00","PARTO",""
"7509","D8003","","","MAUTE","0","1995-01-01 00:00:00","PARTO","1997-07-21 00:00:00"
"8588","D8004","","","MAUTE","0","1995-01-09 00:00:00","PARTO","1997-09-15 00:00:00"
"114","D8005","","","MAUTE","0","1995-01-10 00:00:00","PARTO","1997-05-07 00:00:00"
"549","D8006","","","MAUTE","0","1995-01-10 00:00:00","PARTO","1997-03-05 00:00:00"
"2804","D8007","","BERENJENA","VACA PREÑADA","0","1995-01-13 00:00:00","PARTO",""
"2803","D8008","","","MAUTE","0","1995-01-13 00:00:00","PARTO","1997-05-07 00:00:00"
"7009","D8009","","","MAUTE","0","1995-01-15 00:00:00","PARTO","1997-03-05 00:00:00"
"8522","D8010","","PASCUITA","VACA PROD.VACIA","0","1995-01-15 00:00:00","PARTO","1998-06-08 00:00:00"
"581","D8011","","","VACA VACIA","0","1995-01-15 00:00:00","PARTO","1998-08-31 00:00:00"
"1549","D8012","","","VACA PREÑADA","0","1995-01-15 00:00:00","PARTO",""
"82","D8013","","","MAUTE","0","1995-01-17 00:00:00","PARTO","1997-05-07 00:00:00"
"6516","D8014","","","MAUTE","0","1995-01-25 00:00:00","PARTO","1997-05-07 00:00:00"
"8574","D8015","","","MAUTE","0","1995-01-25 00:00:00","PARTO","1997-05-07 00:00:00"
"8606","D8016","","","MAUTE","0","1995-01-30 00:00:00","PARTO","1997-03-05 00:00:00"
"7015","D8017","","CARAQUEÑA","VACA VACIA","0","1995-01-30 00:00:00","PARTO","1998-08-31 00:00:00"
"5808","D8018","","LINDOS OJOS","VACA PREÑADA","0","1995-02-09 00:00:00","PARTO",""
"6517","D8019","","","MAUTE","0","1995-02-09 00:00:00","PARTO","1997-03-05 00:00:00"
"7016","D8020","","","MAUTE","0","1995-02-09 00:00:00","PARTO","1997-09-15 00:00:00"
