"SERIE","FECHA","LTAM","LTPM","LOTE","DIFDIA","LactanciaParcial","LactanciaAcumulada","DiasAcumulados","PromedioAcumulado","LactanciaAjustada","LactanciaEstimada","IndiceLechero","IndiceLecheroAjustado","Pario","LTTOTAL","Historia","NCICLO"
"2862","1997-10-08 00:00:00","5.5","0","LOTE 5","0","66","356.5","0","0","0","0","0","0","False","5.5","False",""
"2862","1997-10-18 00:00:00","5.2","0","LOTE 5","0","52","408.5","0","0","0","0","0","0","False","5.2","False",""
"2862","1997-10-22 00:00:00","5.2","0","LOTE 5","0","20.8","429.3","0","0","0","0","0","0","False","5.2","False",""
"2862","1997-10-28 00:00:00","4.8","0","LOTE 5","0","28.8","458.1","0","0","0","0","0","0","False","4.8","False",""
"2862","1997-11-07 00:00:00","6.1","0","LOTE 4","0","61","519.1","0","0","0","0","0","0","False","6.1","False",""
"2862","1998-11-07 00:00:00","5.9","0","","0","865.962666666667","1770.26266666667","0","0","0","0","0","0","True","5.9","False",""
"2862","1997-12-04 00:00:00","3.2","0","LOTE 6","0","86.4","605.5","0","0","0","0","0","0","False","3.2","False",""
"2862","1997-12-18 00:00:00","3","0","LOTE 6","0","42","647.5","0","0","0","0","0","0","False","3","False",""
"2862","1998-01-03 00:00:00","4.6","0","LOTE 5","0","73.6","721.1","0","0","0","0","0","0","False","4.6","False",""
"2862","1999-01-09 00:00:00","3.8","0","","63","214.263","1984.52566666667","63","31.5004074074074","0","9765.1262962963","0","0","True","3.8","False",""
"2862","1998-01-15 00:00:00","3.2","0","LOTE 6","0","38.4","759.5","0","0","0","0","0","0","False","3.2","False",""
"2862","1998-01-23 00:00:00","3.2","0","LOTE 6","0","25.6","785.1","0","0","0","0","0","0","False","3.2","False",""
"2862","1998-01-31 00:00:00","3.5","0","LOTE 6","0","28","813.1","0","0","0","0","0","0","False","3.5","False",""
"2862","1999-01-29 00:00:00","5.5","0","","20","110","2094.52566666667","83","25.2352489959839","0","7822.92718875502","0","0","True","5.5","False",""
"2862","1998-02-03 00:00:00","3.1","0","LOTE 6","0","9.3","822.4","0","0","0","0","0","0","False","3.1","False",""
"2862","1998-02-24 00:00:00","3.9","0","LOTE 6","0","81.9","904.3","0","0","0","0","0","0","False","3.9","False",""
"2862","1999-02-05 00:00:00","4.6","0","","7","32.2","2126.72566666667","90","23.6302851851852","0","7325.38840740741","0","0","True","4.6","False",""
"2862","1999-02-13 00:00:00","1.7","0","","8","13.6","2140.32566666667","98","21.8400578231292","0","6770.41792517007","0","0","True","1.7","False",""
"2862","1999-02-20 00:00:00","1.5","0","","7","10.5","2150.82566666667","105","20.484053968254","0","6350.05673015873","0","0","True","1.5","False",""
"2862","1999-02-27 00:00:00","1.2","0","","7","8.4","2159.22566666667","112","19.2788005952381","0","5976.42818452381","0","0","True","1.2","False",""
"2852","1999-07-19 00:00:00","5","0","","36360","-919908","1019.98566666667","240","4.24994027777778","637.491041666667","1317.48148611111","0","0","True","5","False",""
"2852","1998-11-21 00:00:00","5.7","0","","0","5.7","5.7","0","0","0","0","0","0","True","5.7","False",""
"2852","1999-05-06 00:00:00","3.5","0","","6","21","701.394","166","4.22526506024096","0","1309.8321686747","0","0","True","3.5","False",""
"2852","1999-01-09 00:00:00","3.6","0","","49","161.994","167.694","49","3.42232653061224","0","1060.9212244898","0","0","True","3.6","False",""
"2852","1999-01-29 00:00:00","3","0","","20","60","227.694","69","3.29991304347826","0","1022.97304347826","0","0","True","3","False",""
"2852","1999-02-05 00:00:00","3.7","0","","7","25.9","253.594","76","3.33676315789474","0","1034.39657894737","0","0","True","3.7","False",""
"2852","1999-02-13 00:00:00","5.2","0","","8","41.6","295.194","84","3.51421428571429","0","1089.40642857143","0","0","True","5.2","False",""
"2852","1999-02-20 00:00:00","5.5","0","","7","38.5","333.694","91","3.66696703296703","0","1136.75978021978","0","0","True","5.5","False",""
"2852","1999-02-27 00:00:00","6.5","0","","7","45.5","379.194","98","3.86932653061224","0","1199.4912244898","0","0","True","6.5","False",""
"2852","1999-03-13 00:00:00","6.5","0","","14","91","470.194","112","4.19816071428571","0","1301.42982142857","0","0","True","6.5","False",""
"2852","1999-03-19 00:00:00","3.7","0","","6","22.2","492.394","118","4.17283050847458","0","1293.57745762712","0","0","True","3.7","False",""
"2852","1999-03-26 00:00:00","3.5","0","","7","24.5","516.894","125","4.135152","0","1281.89712","0","0","True","3.5","False",""
"2852","1999-04-01 00:00:00","4.2","0","","6","25.2","542.094","131","4.13812213740458","0","1282.81786259542","0","0","True","4.2","False",""
"2852","1999-04-07 00:00:00","4","0","","6","24","566.094","137","4.13207299270073","0","1280.94262773723","0","0","True","4","False",""
"2852","1999-04-15 00:00:00","5","0","","8","40","606.094","145","4.17995862068966","0","1295.78717241379","0","0","True","5","False",""
"2852","1999-05-15 00:00:00","3.2","0","","9","28.8","730.194","175","4.17253714285714","0","1293.48651428571","0","0","True","3.2","False",""
"2852","1999-04-22 00:00:00","4.9","0","","7","34.3","640.394","152","4.21311842105263","0","1306.06671052632","0","0","True","4.9","False",""
"2852","1999-04-30 00:00:00","5","0","","8","40","680.394","160","4.2524625","0","1318.263375","0","0","True","5","False",""
"2871","1999-07-05 00:00:00","5","0","","36346","-919129.763333333","723.1","240","3.01291666666667","451.9375","934.004166666667","0","0","True","5","False",""
"2871","1998-11-07 00:00:00","3.1","0","","0","3.1","3.1","0","0","0","0","0","0","True","3.1","False",""
"231","2000-02-13 00:00:00","4","0","","36569","-745251.840666667","2120.92916666667","435","4.87569923371647","731.354885057471","1511.46676245211","0","0","True","4","False",""
"231","2000-01-13 00:00:00","5","5","","243","1445.85","1996.92916666667","404","4.94289397689769","741.434096534653","1532.29713283828","0","0","True","10","False",""
"231","1998-12-05 00:00:00","4.5","0","","0","4.5","4.5","0","0","0","0","0","0","True","4.5","False",""
"231","1999-01-09 00:00:00","2.9","0","","35","95.5791666666667","100.079166666667","35","2.85940476190476","0","886.415476190476","0","0","True","2.9","False",""
"231","1999-01-29 00:00:00","2.1","0","","20","42","142.079166666667","55","2.58325757575758","0","800.809848484848","0","0","True","2.1","False",""
"231","1999-05-06 00:00:00","5","0","","6","30","507.879166666667","152","3.34131030701754","0","1035.80619517544","0","0","True","5","False",""
"231","1999-02-05 00:00:00","3.6","0","","7","25.2","167.279166666667","62","2.69805107526882","0","836.395833333333","0","0","True","3.6","False",""
"231","1999-02-13 00:00:00","3.6","0","","8","28.8","196.079166666667","70","2.80113095238095","0","868.350595238095","0","0","True","3.6","False",""
"231","1999-02-20 00:00:00","3.5","0","","7","24.5","220.579166666667","77","2.8646645021645","0","888.045995670996","0","0","True","3.5","False",""
"231","1999-02-27 00:00:00","4.1","0","","7","28.7","249.279166666667","84","2.96760912698413","0","919.958829365079","0","0","True","4.1","False",""
"231","1999-04-15 00:00:00","3","0","","8","24","427.479166666667","131","3.26319974554707","0","1011.59192111959","0","0","True","3","False",""
"231","1999-03-13 00:00:00","3.1","0","","14","43.4","292.679166666667","98","2.98652210884354","0","925.821853741496","0","0","True","3.1","False",""
