SERIE,FNAC,FECR,TIPO,RAZA,SEXO,COLORPE,OBSER,PROCEDE,ESTADO,PESOI,PRECIO,PPIES,PESACT,FULPES,NPARTO,DPARTO,NSERVI,FECUP,ABORTO,EDADPP,TIPOAP,LOTE,LTEMP,ULTGDP,COD,CODAP,Pa1,Pa2,Pa3,Pa4,UA,EsPajuelaPadre,Vaquera,Historia,NCRIAS,NPARREPOR,NABOREPOR,PESOPP,LPAST,FECS,FECUA,PESDES,COLORBO,COLORMO,CODP,NOMBRE,ASOC1,SERIE1,FECDES,TIPOPS,CODPS,CODM,PAJU,RAZAMADRE,FECNACMADRE,RAZAPADRE,FECNACPADRE,NOMBREP,NOMBREM,NROREGMADRE1,ASOCMADRE1,ASOCPADRE1,NROREGPADRE1,ASOCPADRE2
27263,2007-10-16T00:00:00,2007-10-16T00:00:00,VACA PREÑADA,BR,0,,,AGROPECUARIA LA LUNA,C1,28,780000,,300,2010-04-27T00:00:00,6,414,0,2017-12-17T00:00:00,1,03-05,VACA VACIA,LOTE 1,LOTE UNICO,0.219,14,11,28,0,0,0,1,0,,0,6,6,1,0,,,2015-04-20T00:00:00,150,,,1022T,,,,2008-06-12T00:00:00,,,6373,,BRAHMAN,1996-11-22T00:00:00,BRAHMAN,2000-11-05T00:00:00,DE MATAPALITO 1022,,,,,,
27264,2007-10-16T00:00:00,2007-10-16T00:00:00,NOVILLA,BRAHMAN,0,,,AGROPECUARIA LA LUNA,CONDICION 1,28,676000,,260,2010-04-27T00:00:00,,,0,,,,,VENTA 15 DICIEMBRE 2010,LOTE NOVILLAS 2010,0.161,05,,28,0,0,0,1,0,,0,0,0,0,,,2010-12-15T00:00:00,,150,,,7020T,,,,2008-06-12T00:00:00,,,23312,,BRAHMAN,2003-08-30T00:00:00,BRAHMAN,1999-12-15T00:00:00,HM SAN BLAS 7020,,,,,,
27265,2007-10-17T00:00:00,2007-10-17T00:00:00,MAUTE,BRAHMAN,1,,,AGROPECUARIA LA LUNA,CONDICION 1,27,520000,,200,2008-06-12T00:00:00,,,0,,,,,DOS,,0.724,03,,27,0,0,0,0.25,1,,0,0,0,0,,,2008-07-28T00:00:00,,200,,,4271,,,,2008-06-12T00:00:00,,,20329,,BRAHMAN,2000-12-07T00:00:00,BRAHMAN,,,,,,,,
27266,2007-10-17T00:00:00,2007-10-17T00:00:00,VACA PREÑADA,BR,0,,,AGROPECUARIA LA LUNA,C1,30,871000,,335,2010-04-27T00:00:00,4,736,0,2018-02-26T00:00:00,2,03-06,VACA VACIA,LOTE 1,LOTE DOS 2016,0.143,14,11,0,0,0,0,1,1,,0,4,4,2,0,,,2015-04-20T00:00:00,245,,,4271,,,,2008-08-05T00:00:00,,,21079,,BRAHMAN,2001-06-02T00:00:00,BRAHMAN,,,,,,,,
27267,2007-10-16T00:00:00,2007-10-16T00:00:00,NOVILLA,BRAHMAN,0,,,AGROPECUARIA LA LUNA,CONDICION 1,28,845000,,325,2010-04-27T00:00:00,,,0,,,,,VENTA 15 DICIEMBRE 2010,LOTE NOVILLAS 2010,0.154,05,,28,0,0,0,1,0,,0,0,0,0,,,2010-12-15T00:00:00,,220,,,,,,,2008-06-12T00:00:00,,,21138,,BRAHMAN,2001-08-24T00:00:00,,,,,,,,,
27268,2007-10-16T00:00:00,2007-10-16T00:00:00,VACA VACIA SIN CRIA,BRAHMAN,0,,,AGROPECUARIA LA LUNA,CONDICION 1,29,858000,,330,2010-04-27T00:00:00,1,0,0,2013-02-06T00:00:00,3,05-03,VACA VACIA SIN CRIA,DOS,LOTE DOS 2015,0.175,13,13,29,0,0,0,1,0,,0,1,1,3,0,,2015-11-25T00:00:00,2015-04-20T00:00:00,210,,,7961T,,,,2008-06-12T00:00:00,,,20256,,BRAHMAN,2000-10-25T00:00:00,BRAHMAN,2001-12-15T00:00:00,,,,,,,
27269,2007-10-16T00:00:00,2007-10-16T00:00:00,MAUTA,BRAHMAN,0,,,AGROPECUARIA LA LUNA,CONDICION 1,29,520000,,200,2008-06-12T00:00:00,,,0,,,,,SEIS,,0.713,04,,29,0,0,0,0.5,0,,0,0,0,0,,,2010-03-31T00:00:00,,200,,,,,,,2008-06-12T00:00:00,,,20185,,BRAHMAN,2000-10-05T00:00:00,,,,,,,,,
27270,2007-10-16T00:00:00,2007-10-16T00:00:00,MAUTE,BRAHMAN,1,,,AGROPECUARIA LA LUNA,CONDICION 1,30,442000,,170,2008-06-12T00:00:00,,,0,,,,,DOS,,0.583,03,,30,0,0,0,0.25,1,,0,0,0,0,,,2008-07-28T00:00:00,,170,,,725,,,,2008-06-12T00:00:00,,,22502,,BRAHMAN,2002-11-20T00:00:00,BRAHMAN,,,,,,,,
27271,2007-10-16T00:00:00,2007-10-16T00:00:00,MAUTA,BRAHMAN,0,,,AGROPECUARIA LA LUNA,CONDICION 1,29,546000,,210,2008-06-12T00:00:00,,,0,,,,,SEIS,,0.754,04,,29,0,0,0,0,0,,0,0,0,0,,,2010-03-31T00:00:00,,210,,,,,,,2008-06-12T00:00:00,,,20255,,BRAHMAN,2000-10-25T00:00:00,,,,,,,,,
27272,2007-10-16T00:00:00,2007-10-16T00:00:00,BECERRA,BRAHMAN,0,,,AGROPECUARIA LA LUNA,CONDICION 1,28,72800,,28,,,,0,,,,,DOS,,0,02,,0,0,0,0,0.25,0,,0,0,0,0,,,2008-02-13T00:00:00,,,,,8441T,,,,,,,21174,,BRAHMAN,2001-08-31T00:00:00,BRAHMAN,2003-01-01T00:00:00,,,,,,,
27273,2007-10-16T00:00:00,2007-10-16T00:00:00,MAUTE,BRAHMAN,1,,,AGROPECUARIA LA LUNA,CONDICION 1,32,494000,,190,2008-06-12T00:00:00,,,0,,,,,DOS,,0.658,03,,32,0,0,0,0.25,0,,0,0,0,0,,,2008-07-28T00:00:00,,190,,,7961T,,,,2008-06-12T00:00:00,,,5655,,BRAHMAN,1995-11-17T00:00:00,BRAHMAN,2001-12-15T00:00:00,,,,,,,
